type,post_id,comment_id,parent_comment_id,category,author_nickname,author_id,created_at,content,like_count,comment_count,url
post,4281832,,,시술/수술 질문,튼튼한공주님,9457899,3시간 전,"이번주에 가슴이랑 눈 수술인데 아직 실감이 잘 안 나는 거 같은데
수술 당일 되면 실감 나겠지...? ㅋㅋㅋㅋㅋ

난 눈재수술 받는 김에 가슴 수술까지 같이 받아서 고통을 한 번에
느끼고 말고 싶어서 선택한 거기도 하고 하는 김에 하면 좋지 싶었어

그래서 티에스에서 두 개 같이 해! 김기재 원장님이 가슴 전담에 눈도
하신다 해서 갔는데 생각보다 상담 엄청 꼼꼼하게 해주시고 보형물
설명도 진짜 잘해주시면서 가슴 쪽도 세심하게? 봐주시는 분이더라고

그래서 티에스에서 이번주에 둘 다 수술 받기로 했고 이제 슬슬 준비물
정리 중인데 가슴은 첨이라 준비물 준비가 은근 어렵더라고...?

성형베개, 붓기차, 찜질팩, 압박브라 정도면 눈이랑 가슴 수술 후에
괜찮아? 아니면 더 필요한 거 있으면 말해주면 미리 다 사다 둘까
생각 중이야 ㅎㅎ

갈 때는 편한 옷 입고 가면 좋다 해서 셔츠 입고 갈 거 같고...
이 정도면 그래도 준비 잘하고 있는 거지?",0,5,https://www.gangnamunni.com/community/4281832
comment,4281832,25182778,,,태양민횰,9207435,2026-06-29T05:27:09Z,셔츠 입고 가면 될거 같긴 한데? 티에스에서 가슴이랑 눈 같이 하는구나 잘 받아보고 오길 바래 ㅎㅎ ,0,,
comment,4281832,25181582,,,빵빵앜옥지얌,5443202,2026-06-29T04:09:14Z,가슴 눈 수술 같이하는거에요?? 와 테이스 잘하긴하나뵈요 다,0,,
comment,4281832,25180323,,,리더가중요,5407875,2026-06-29T02:01:19Z,두개 같이!?!? 대박이네요 +.+ 근데 진짜 하는 김에 한번에 하는 것도 좋다더라구여??? ,0,,
comment,4281832,25180271,,,서울여성부장관,9629133,2026-06-29T01:57:33Z,이왕 할거면 한번에 해버리는거 ㄱㅊ지 준비도 엄청 철저하게 했댜 난 별생각 없었는데ㅠ,0,,
comment,4281832,25180250,,,버터쫀꾹,9039685,2026-06-29T01:56:04Z,티에스에서 하는구나 잘 받구 오구 갈때는 편한 옷이 낫지ㅋㅋ준비 잘 하구 있는거 같아 ,0,,
