type,post_id,comment_id,parent_comment_id,category,author_nickname,author_id,created_at,content,like_count,comment_count,url
post,4278803,,,자유수다,변호사자,6602967,17시간 전,"나나 연조직윤곽술 후기 나도 낋여왔긔❤ ㅋㅋㅋ
요즘 연조직윤곽술 모르는 사람 있나?
모르는 사람 늙크크 인정 ㅋㅋㅋㅋㅋ
사실 나도 한두달전까진 몰랐긔❤
원래는 윤곽을 해야하나
이나이에 벌써부터 거상을 해야하나
실리프팅 해봤자 6개월
백번양보해서 울쎄라 받아도 1년 남짓인데
도대체 뭘 어떻게 해야하나 싶었징❤ ㅎㅎㅎㅎㅎㅎㅎㅎ
지금이야 웃으면서 말하지만 이때 진짜 정병 개쎄게걸렸음 ㅎ
그러다가 발견한게 나나 연조직윤곽술인데
영크크 늙크크 뜻도 얼마전에 들은 세상이랑 담쌓고 살던 나한텐
와 이 수술자체가 굉장히 충격이더라
상담 가서 물어보니 난 거상이나 윤곽 안해도 된데 ㅇㅅㅇ
연조직윤곽술만 받아도 효과 좋을거같다고...ㅋㅋ
그냥 그대로 수술 받았는데 효과 무엇 ㅋㅋ
효과 뒤지게 좋아서 아직도 안믿김 ㅋㅋㅋㅋㅋ
얼굴 작아졌지 처진살 올라갔지
그리고 살 처진거 올라가면서 팔자도 없어지고
얼굴 울퉁불퉁한것도 해결됐긔❤
안그래도 요즘 인스타 보면서 저장하면서
얼굴 갸름한 인플루언서상? 팔로우하면서 보석함 저장중인데
그런 추구미에 한발짝 더 가까워진 것 같달까 ㅎvㅎ
공주 기분 진짜 넘좋긩 ㅎㅎㅎㅎ 
효과 진짜 좋은데 나처럼 이뻐지고 싶음 연조직 받아보는거 추천하긔❤❤❤❤❤
(울 언니 나 수술한거 보고 이마거상 상담하러감 ㅋㅋㅋㅋㅋ 개웃김ㅋㅋㅋ)",112,316,https://www.gangnamunni.com/community/4278803
comment,4278803,25177653,,,금지세요,8280799,2026-06-28T11:58:27Z,진짜 잘하시는 거 같아요,0,,
comment,4278803,25177886,25177653,,변호사자,6602967,2026-06-28T12:21:04Z,좋아요,0,,
comment,4278803,25177652,,,머리링딩동,8385598,2026-06-28T11:58:26Z,오 ㄷㄷㄷ 뭐야 ㄷㄷ,0,,
comment,4278803,25177883,25177652,,변호사자,6602967,2026-06-28T12:20:29Z,좋아,0,,
comment,4278803,25177651,,,한쿡인은밥씸,8335572,2026-06-28T11:58:26Z,잘됐네요 ㅎㅎ,0,,
comment,4278803,25177880,25177651,,변호사자,6602967,2026-06-28T12:19:56Z,만족해요,0,,
comment,4278803,25177650,,,러시안굴렛트,8404250,2026-06-28T11:58:25Z,너무 잘되셨자나여,0,,
comment,4278803,25177873,25177650,,변호사자,6602967,2026-06-28T12:19:19Z,감사해,0,,
comment,4278803,25177649,,,째깍13시,8387046,2026-06-28T11:58:25Z,증말 부러워,0,,
comment,4278803,25177869,25177649,,변호사자,6602967,2026-06-28T12:18:33Z,좋아,0,,
comment,4278803,25177647,,,이번에는맞네,8391508,2026-06-28T11:58:25Z,효과 진짜 대박이네,0,,
comment,4278803,25177864,25177647,,변호사자,6602967,2026-06-28T12:17:53Z,땡큐,0,,
comment,4278803,25177646,,,머리가즤긘,8438952,2026-06-28T11:58:24Z,대박이에요,0,,
comment,4278803,25177860,25177646,,변호사자,6602967,2026-06-28T12:17:15Z,고마워요,0,,
comment,4278803,25177645,,,달섬별빛,8407408,2026-06-28T11:58:24Z,잘되서다행이다,0,,
comment,4278803,25177853,25177645,,변호사자,6602967,2026-06-28T12:16:25Z,고마웡,0,,
comment,4278803,25177644,,,공개된우주,8335573,2026-06-28T11:58:23Z,쪽지 주세요,0,,
comment,4278803,25177849,25177644,,변호사자,6602967,2026-06-28T12:15:48Z,쪽지 보낼게요,0,,
comment,4278803,25177643,,,갱갱갱뿌뿌,8404161,2026-06-28T11:58:23Z,대박ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,,
comment,4278803,25177843,25177643,,변호사자,6602967,2026-06-28T12:15:06Z,감사,0,,
comment,4278803,25177642,,,나가주세요.,8407457,2026-06-28T11:58:22Z,헐 완전 잘되셨네요,0,,
comment,4278803,25177838,25177642,,변호사자,6602967,2026-06-28T12:14:22Z,고맙습니다,0,,
comment,4278803,25177641,,,심술보를똭,8335633,2026-06-28T11:58:22Z,와 뭐지;;;;,0,,
comment,4278803,25177831,25177641,,변호사자,6602967,2026-06-28T12:13:34Z,공감,0,,
comment,4278803,25177640,,,어떻게하는건딩,8407405,2026-06-28T11:58:21Z,진짜 누가봐도 잘되써여ㅠ,0,,
comment,4278803,25177825,25177640,,변호사자,6602967,2026-06-28T12:12:52Z,고마워,0,,
comment,4278803,25177639,,,목이하루종일,8385532,2026-06-28T11:58:21Z,수고했어여,0,,
comment,4278803,25177820,25177639,,변호사자,6602967,2026-06-28T12:12:08Z,그치,0,,
comment,4278803,25177638,,,수숯불을알어,8348982,2026-06-28T11:58:20Z,와 진짜 잘하시네요,0,,
comment,4278803,25177817,25177638,,변호사자,6602967,2026-06-28T12:11:35Z,공감해요,0,,
comment,4278803,25177637,,,최선을다혜,8335793,2026-06-28T11:58:20Z,행복하시죠 ??,0,,
comment,4278803,25177811,25177637,,변호사자,6602967,2026-06-28T12:10:48Z,추천,0,,
comment,4278803,25177636,,,시원시영,8372885,2026-06-28T11:58:20Z,나도 하고싶다 흑,0,,
comment,4278803,25177806,25177636,,변호사자,6602967,2026-06-28T12:10:15Z,공감,0,,
comment,4278803,25177635,,,커피를사와,8351117,2026-06-28T11:58:19Z,아 나도 하고싶다…,0,,
comment,4278803,25177801,25177635,,변호사자,6602967,2026-06-28T12:09:29Z,그치,0,,
comment,4278803,25177634,,,치미창가굿,8350693,2026-06-28T11:58:19Z,가격 정보 부탁드려요,0,,
comment,4278803,25177796,25177634,,변호사자,6602967,2026-06-28T12:08:43Z,쪽지 확인해주세요,0,,
comment,4278803,25177633,,,나는앙조아,8335384,2026-06-28T11:58:18Z,쪽지로 공유 부탁드려요,0,,
comment,4278803,25177793,25177633,,변호사자,6602967,2026-06-28T12:08:03Z,지금 쪽지 보낼게요,0,,
comment,4278803,25177632,,,하루에이만보,8387178,2026-06-28T11:58:17Z,완전 추천드려요!,0,,
comment,4278803,25177788,25177632,,변호사자,6602967,2026-06-28T12:07:18Z,좋아요,0,,
